id,datum,incidence_7,incidence_14,incidence_7_100000,incidence_14_100000
0535f7ed-051b-474c-b606-5771750a7e2f,2020-03-01,3,3,0.028,0.028
754f486c-da5f-42a0-aea7-5a0e50551856,2020-03-02,3,3,0.028,0.028
c09a3bdf-1b2a-4c6f-8761-c04e9bb7b5db,2020-03-03,5,5,0.047,0.047
829aadf9-16a6-4da0-b09c-f15757cd5496,2020-03-04,6,6,0.056,0.056
8ddc8dd7-f5f9-484e-a978-7cab66083a4e,2020-03-05,9,9,0.084,0.084
7c9a11fc-dc18-4215-91e2-5428af233d3f,2020-03-06,20,20,0.187,0.187
0301a899-39f9-4d6e-9149-ae99e3a3df0b,2020-03-07,27,27,0.252,0.252
f5c37dfb-6d30-415b-ac9e-1d8d5172e3fa,2020-03-08,30,33,0.28,0.308
22a71e6b-6b3f-42a9-8c1d-7e2e57d29a76,2020-03-09,36,39,0.336,0.364
58a2493c-4613-4d2b-a205-53b7e027ab98,2020-03-10,59,64,0.551,0.598
c630624a-b32d-4e20-90ec-43d69f7be62f,2020-03-11,89,95,0.832,0.888
7a4402fc-2d11-41ab-a7eb-41e6bdc25f08,2020-03-12,108,117,1.009,1.093
e6933a9b-55de-432a-b369-13025d0b8666,2020-03-13,122,142,1.14,1.327
9bbac122-654e-4a07-8435-9b517cc28b15,2020-03-14,163,190,1.523,1.775
42aa561f-a3e2-43d5-afe4-9ebbb2ada4a4,2020-03-15,266,296,2.486,2.766
bc25175e-7ee2-474c-bf23-4ff88edd6f08,2020-03-16,346,382,3.233,3.57
4ed02153-ff97-4d42-a0ef-9b456f5863a0,2020-03-17,393,452,3.672,4.224
b92ceb0e-0fac-46f9-9bbc-3bc2d193d433,2020-03-18,472,561,4.41,5.242
5fbf65b3-ae09-4276-a19c-f8e9688254af,2020-03-19,657,765,6.139,7.148
21904002-a0ec-471b-8263-632c0cb56836,2020-03-20,757,879,7.074,8.214
5bd92417-7204-4ec8-bd72-0ff4a85156db,2020-03-21,869,1032,8.12,9.643
46d32d0a-9bac-4088-9c1f-1d2353e6dd9f,2020-03-22,875,1141,8.176,10.662
