id,datum,nove_pripady,nove_reinfekce,pripady_neockovani_neprodelali,pripady_neockovani_prodelali,pripady_ockovani_neprodelali,pripady_ockovani_prodelali,hospitalizace_bez_reinfekce,hospitalizace_vcetne_reinfekce,hospitalizace_pouze_reinfekce,nove_hospitalizace,nove_hospitalizace_komplet,hospitalizace_neockovani_neprodelali,hospitalizace_neockovani_prodelali,hospitalizace_ockovani_neprodelali,hospitalizace_ockovani_prodelali,jip_bez_reinfekce,jip_vcetne_reinfekce,jip_pouze_reinfekce,nove_jip,nove_jip_komplet,jip_neockovani_neprodelali,jip_neockovani_prodelali,jip_ockovani_neprodelali,jip_ockovani_prodelali
03277fdd-a261-4aa4-907b-c525f9a1d086,2020-03-01,3,,3,,,,,,,,,,,,,,,,,,,,,
3a775543-d1f1-49d5-9223-dace53e808ab,2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,
d34cfea2-a8d3-4d75-9c7b-bc969d1867e8,2020-03-03,2,,2,,,,,,,,,,,,,,,,,,,,,
702e4167-072c-45fc-8fe7-909118103d62,2020-03-04,1,,1,,,,,,,,,,,,,,,,,,,,,
a3e682c3-c144-42ab-82b4-7325b4d1f4a6,2020-03-05,3,,3,,,,,,,,,,,,,,,,,,,,,
79907f65-c86c-4923-a813-45894a2fd638,2020-03-06,11,,11,,,,,,,,,,,,,,,,,,,,,
07d3952d-4720-4c9c-99ab-b992b2eaace1,2020-03-07,7,,7,,,,,,,,,,,,,,,,,,,,,
3f5a3deb-4032-423c-b429-ffec53a4156e,2020-03-08,6,,6,,,,,,,,,,,,,,,,,,,,,
88f4d267-535b-4088-9160-ff47c8560f9c,2020-03-09,6,,6,,,,,,,,,,,,,,,,,,,,,
b63910a7-3d18-4694-8db7-acb61c934667,2020-03-10,25,,25,,,,,,,,,,,,,,,,,,,,,
08182813-c9d8-4c30-9ef3-f91725538462,2020-03-11,31,,31,,,,2,2,,2,2,2,,,,,,,,,,,,
64bc8ea1-2de7-4b4c-aa5f-66b039f3c6ff,2020-03-12,22,,22,,,,3,3,,1,1,3,,,,,,,,,,,,
60add563-0db1-4a43-9605-56fe2f400f85,2020-03-13,25,,25,,,,4,4,,2,2,4,,,,,,,,,,,,
