id,datum,incidence_7,incidence_14,incidence_7_100000,incidence_14_100000
fe0a1a50-5896-49dd-839c-e7b13db0623b,2020-03-01,3,3,0.028,0.028
baba3525-5e4e-4f8a-8b8e-89219567360a,2020-03-02,3,3,0.028,0.028
250c5dba-6257-4c4b-ad67-b96deeb7b081,2020-03-03,5,5,0.047,0.047
a57d4779-b32b-4949-ab0b-581c1c84d46e,2020-03-04,6,6,0.056,0.056
c53644fd-c7ea-4462-bddb-24592767ee48,2020-03-05,9,9,0.084,0.084
5fa18d46-7dea-4997-92c7-ba46eb6ad9e7,2020-03-06,20,20,0.187,0.187
d183c315-3e86-4df3-9ad9-c4ba4aa5d0d1,2020-03-07,27,27,0.252,0.252
22f37840-89fa-4df4-adb0-7ae63c70e14a,2020-03-08,30,33,0.28,0.308
69212770-f278-4527-9e40-1a20ec1ede90,2020-03-09,36,39,0.336,0.364
14c29599-7bd0-419a-8923-f35354232e5b,2020-03-10,59,64,0.551,0.598
7b72769a-613b-4081-931b-5151942ffd50,2020-03-11,89,95,0.832,0.888
d3f687c4-cfe1-4533-98e8-5a9f36be4ea0,2020-03-12,108,117,1.009,1.093
48ef37fb-4dab-41b9-9c81-fe50dfd674a3,2020-03-13,122,142,1.14,1.327
6335b3b9-4256-4ee1-b6fe-338591f6840e,2020-03-14,163,190,1.523,1.775
cd597113-24a8-4671-9a62-7ac1ead31bcf,2020-03-15,266,296,2.486,2.766
a0d38f3f-dafa-4d83-9f05-e482aa6c1168,2020-03-16,346,382,3.233,3.57
2b98a817-d7ce-4cd1-896e-31e2f9eb3f74,2020-03-17,393,452,3.672,4.224
3bb01c42-a35b-43b8-b019-29da25ca334b,2020-03-18,472,561,4.41,5.242
017c5984-b3b9-4f8c-9917-740d496c3bb6,2020-03-19,657,765,6.139,7.148
3ecc5f61-bdf9-4be8-a75e-4ed4979ac21a,2020-03-20,757,879,7.074,8.214
fd6d6045-8fee-4c7d-8f19-df08db6eb6b6,2020-03-21,869,1032,8.12,9.643
c0623f7c-21e9-4f4f-a1d5-eb4160603d08,2020-03-22,875,1141,8.176,10.662
9a5fae66-5b0d-44f1-a8eb-5de3c616aa1c,2020-03-23,916,1262,8.559,11.792
5923886f-8d03-4739-8df5-609e5b36c0a2,2020-03-24,1029,1422,9.615,13.288
a0e523d4-58de-4e4d-8939-37c07b0b7cac,2020-03-25,1213,1685,11.335,15.745
