"","x"
"1",2.83
"2",3.05
"3",3.11
"4",2.93
"5",2.95
"6",2.87
"7",2.66
"8",2.68
"9",2.59
"10",2.48
"11",2.47
"12",2.37
"13",2.29
"14",2.37
"15",2.38
"16",2.3
"17",2.36
"18",2.38
"19",2.43
"20",2.48
"21",2.51
"22",2.61
"23",2.65
"24",2.68
"25",2.75
"26",2.76
"27",2.78
"28",2.9
"29",2.97
"30",2.97
"31",2.88
"32",2.89
"33",2.96
"34",2.9
"35",2.84
"36",2.96
"37",3.18
"38",3.07
"39",3
"40",3.11
"41",3.33
"42",3.38
"43",3.34
"44",3.49
"45",3.59
"46",3.46
"47",3.34
"48",3.41
"49",3.48
"50",3.6
"51",3.8
"52",3.93
"53",3.93
"54",3.92
"55",3.97
"56",3.72
"57",3.21
"58",3.09
"59",3.05
"60",2.98
"61",2.88
"62",2.92
"63",2.97
"64",3.2
"65",3.54
"66",3.76
"67",3.8
"68",3.74
"69",3.86
"70",4.02
"71",3.96
"72",3.99
"73",4.12
"74",4.31
"75",4.34
"76",4.4
"77",4.43
"78",4.68
"79",4.53
"80",4.53
"81",4.69
"82",4.72
"83",4.49
"84",4.25
"85",4.28
"86",4.35
"87",4.15
"88",3.9
"89",3.8
"90",3.8
"91",3.89
"92",3.93
"93",3.84
"94",3.84
"95",3.78
"96",3.74
"97",3.78
"98",3.71
"99",3.88
"100",3.92
"101",4.04
"102",3.98
"103",3.92
"104",3.94
"105",4.06
"106",4.08
"107",4.04
"108",3.93
"109",3.84
"110",3.87
"111",3.91
"112",4.01
"113",3.98
"114",3.98
"115",3.93
"116",3.92
"117",3.86
"118",3.83
"119",3.92
"120",3.93
"121",3.97
"122",3.93
"123",3.99
"124",4.02
"125",4
"126",4.08
"127",4.11
"128",4.12
"129",4.13
"130",4.17
"131",4.15
"132",4.22
"133",4.23
"134",4.2
"135",4.17
"136",4.19
"137",4.19
"138",4.2
"139",4.19
"140",4.15
"141",4.18
"142",4.19
"143",4.21
"144",4.21
"145",4.2
"146",4.21
"147",4.21
"148",4.2
"149",4.25
"150",4.29
"151",4.35
"152",4.45
"153",4.62
"154",4.61
"155",4.83
"156",4.87
"157",4.75
"158",4.78
"159",4.81
"160",5.02
"161",5.22
"162",5.18
"163",5.01
"164",5.16
"165",4.84
"166",4.58
"167",4.63
"168",4.54
"169",4.59
"170",4.85
"171",5.02
"172",5.16
"173",5.28
"174",5.3
"175",5.48
"176",5.75
"177",5.7
"178",5.53
"179",5.56
"180",5.74
"181",5.64
"182",5.87
"183",5.72
"184",5.5
"185",5.42
"186",5.46
"187",5.58
"188",5.7
"189",6.03
"190",6.04
"191",6.19
"192",6.3
"193",6.17
"194",6.32
"195",6.57
"196",6.72
"197",6.69
"198",7.16
"199",7.1
"200",7.14
"201",7.65
"202",7.79
"203",7.24
"204",7.07
"205",7.39
"206",7.91
"207",7.84
"208",7.46
"209",7.53
"210",7.39
"211",7.33
"212",6.84
"213",6.39
"214",6.24
"215",6.11
"216",5.7
"217",5.83
"218",6.39
"219",6.52
"220",6.73
"221",6.58
"222",6.14
"223",5.93
"224",5.81
"225",5.93
"226",5.95
"227",6.08
"228",6.07
"229",6.19
"230",6.13
"231",6.11
"232",6.11
"233",6.21
"234",6.55
"235",6.48
"236",6.28
"237",6.36
"238",6.46
"239",6.64
"240",6.71
"241",6.67
"242",6.85
"243",6.9
"244",7.13
"245",7.4
"246",7.09
"247",6.79
"248",6.73
"249",6.74
"250",6.99
"251",6.96
"252",7.21
"253",7.51
"254",7.58
"255",7.54
"256",7.81
"257",8.04
"258",8.04
"259",7.9
"260",7.68
"261",7.43
"262",7.5
